isolate,treatment,replicate,group,variable,value
PAO1,con,2,1,128,0.404
KT2440,con,2,1,128,0.384
4A7,con,2,1,128,0.07400000000000001
6C6,con,2,1,128,0.058
20A1,con,2,1,128,0.075
31A8,con,2,1,128,0.833
34A1,con,2,1,128,0.245
PAO1,con,2,1,64,0.343
KT2440,con,2,1,64,0.481
4A7,con,2,1,64,0.59
6C6,con,2,1,64,0.058
20A1,con,2,1,64,0.065
31A8,con,2,1,64,0.6629999999999999
34A1,con,2,1,64,0.539
PAO1,con,2,1,32,0.332
KT2440,con,2,1,32,0.72
4A7,con,2,1,32,0.431
6C6,con,2,1,32,0.031
20A1,con,2,1,32,0.002
31A8,con,2,1,32,0.639
34A1,con,2,1,32,0.6920000000000001
PAO1,con,2,1,16,0.63
KT2440,con,2,1,16,1.264
4A7,con,2,1,16,0.415
6C6,con,2,1,16,0.262
20A1,con,2,1,16,0.053
31A8,con,2,1,16,0.949
34A1,con,2,1,16,1.09
PAO1,con,2,1,8,0.87
KT2440,con,2,1,8,1.439
4A7,con,2,1,8,0.4920000000000001
6C6,con,2,1,8,0.239
20A1,con,2,1,8,0.364
31A8,con,2,1,8,1.203
34A1,con,2,1,8,1.25
PAO1,con,2,1,4,1.092
KT2440,con,2,1,4,1.484
4A7,con,2,1,4,0.815
6C6,con,2,1,4,0.387
20A1,con,2,1,4,0.5660000000000001
31A8,con,2,1,4,1.28
34A1,con,2,1,4,1.298
PAO1,con,2,1,2,1.152
KT2440,con,2,1,2,1.485
4A7,con,2,1,2,0.901
6C6,con,2,1,2,0.41
20A1,con,2,1,2,0.706
31A8,con,2,1,2,1.32
34A1,con,2,1,2,1.329
PAO1,con,2,1,1,1.294
KT2440,con,2,1,1,1.462
4A7,con,2,1,1,0.985
6C6,con,2,1,1,0.51
20A1,con,2,1,1,0.919
31A8,con,2,1,1,1.257
34A1,con,2,1,1,1.308
PAO1,con,2,1,.5,1.263
KT2440,con,2,1,.5,1.499
4A7,con,2,1,.5,0.971
6C6,con,2,1,.5,0.5329999999999999
20A1,con,2,1,.5,0.813
31A8,con,2,1,.5,1.255
34A1,con,2,1,.5,1.308
PAO1,con,2,1,.25,1.248
KT2440,con,2,1,.25,1.482
4A7,con,2,1,.25,1.134
6C6,con,2,1,.25,0.568
20A1,con,2,1,.25,0.856
31A8,con,2,1,.25,1.354
34A1,con,2,1,.25,1.311
PAO1,con,2,1,GC,1.274
KT2440,con,2,1,GC,1.4680000000000002
4A7,con,2,1,GC,1.089
6C6,con,2,1,GC,0.569
20A1,con,2,1,GC,0.885
31A8,con,2,1,GC,1.335
34A1,con,2,1,GC,1.2990000000000002
PAO1,con,2,1,SC,-0.001
KT2440,con,2,1,SC,-0.0
4A7,con,2,1,SC,-0.0
6C6,con,2,1,SC,0.0
20A1,con,2,1,SC,0.001
31A8,con,2,1,SC,-0.0
34A1,con,2,1,SC,-0.001
PAO1,inh,3,1,128,0.05
KT2440,inh,3,1,128,0.019
4A7,inh,3,1,128,0.019
6C6,inh,3,1,128,0.008
20A1,inh,3,1,128,0.019
31A8,inh,3,1,128,0.013
34A1,inh,3,1,128,0.021
PAO1,inh,3,1,64,0.026
KT2440,inh,3,1,64,0.01
4A7,inh,3,1,64,0.016
6C6,inh,3,1,64,0.024
20A1,inh,3,1,64,0.027000000000000003
31A8,inh,3,1,64,0.038
34A1,inh,3,1,64,0.032
PAO1,inh,3,1,32,0.004
KT2440,inh,3,1,32,0.002
4A7,inh,3,1,32,0.002
6C6,inh,3,1,32,0.008
20A1,inh,3,1,32,0.006
31A8,inh,3,1,32,0.006
34A1,inh,3,1,32,0.006999999999999999
PAO1,inh,3,1,16,0.002
KT2440,inh,3,1,16,-0.0
4A7,inh,3,1,16,-0.001
6C6,inh,3,1,16,0.002
20A1,inh,3,1,16,0.0
31A8,inh,3,1,16,0.001
34A1,inh,3,1,16,-0.001
PAO1,inh,3,1,8,0.175
KT2440,inh,3,1,8,-0.0
4A7,inh,3,1,8,0.0
6C6,inh,3,1,8,0.002
20A1,inh,3,1,8,-0.0
31A8,inh,3,1,8,0.001
34A1,inh,3,1,8,-0.002
PAO1,inh,3,1,4,0.526
KT2440,inh,3,1,4,-0.001
4A7,inh,3,1,4,0.0
6C6,inh,3,1,4,0.014
20A1,inh,3,1,4,0.001
31A8,inh,3,1,4,0.001
34A1,inh,3,1,4,0.001
PAO1,inh,3,1,2,0.675
KT2440,inh,3,1,2,-0.0
4A7,inh,3,1,2,-0.0
6C6,inh,3,1,2,0.102
20A1,inh,3,1,2,0.002
31A8,inh,3,1,2,0.017
34A1,inh,3,1,2,-0.001
PAO1,inh,3,1,1,0.6559999999999999
KT2440,inh,3,1,1,0.342
4A7,inh,3,1,1,0.006999999999999999
6C6,inh,3,1,1,0.145
20A1,inh,3,1,1,0.002
31A8,inh,3,1,1,0.599
