"isolate","treatment","variable","mean_value","min_value","max_value","stdev_value","ENR","species","origin","mod_variable"
"109A1","con",".25",0.169,0.113,0.203,0.0282134719593318,"No FabV","stutzeri","study_isolate",0.25
"109A1","con","32",0.0103333333333333,0,0.027,0.00841295297608264,"No FabV","stutzeri","study_isolate",32
"109A1","con",".5",0.0516666666666667,0.025,0.073,0.0141106736590111,"No FabV","stutzeri","study_isolate",0.5
"109A1","con","2",0.015,0.001,0.04,0.0125299640861417,"No FabV","stutzeri","study_isolate",2
"109A1","con","1",0.0143333333333333,0.008,0.025,0.0053644923131437,"No FabV","stutzeri","study_isolate",1
"109A1","inh","1",0.005,0,0.013,0.00404145188432738,"No FabV","stutzeri","study_isolate",1
"109A1","inh","4",0.0156666666666667,0,0.046,0.0151694136706437,"No FabV","stutzeri","study_isolate",4
"109A1","con",".0625",0.459333333333333,0.384,0.542,0.0457578165757259,"No FabV","stutzeri","study_isolate",0.0625
"109A1","con","8",0.007,0,0.013,0.00378593889720018,"No FabV","stutzeri","study_isolate",8
"109A1","inh","16",0.002,0,0.006,0.002,"No FabV","stutzeri","study_isolate",16
"109A1","con","4",0.0253333333333333,0.001,0.071,0.0228497507888185,"No FabV","stutzeri","study_isolate",4
"109A1","con","16",0.008,0,0.016,0.00461880215351701,"No FabV","stutzeri","study_isolate",16
"109A1","inh","GC",0.439333333333333,0.298,0.521,0.0709514701124023,"No FabV","stutzeri","study_isolate",0
"109A1","inh","2",0.00133333333333333,0.001,0.002,0.000333333333333333,"No FabV","stutzeri","study_isolate",2
"109A1","inh","8",0.00333333333333333,0.001,0.008,0.00233333333333333,"No FabV","stutzeri","study_isolate",8
"109A1","inh","32",0.0206666666666667,0.007,0.045,0.0121974496423547,"No FabV","stutzeri","study_isolate",32
"109A1","inh",".0625",0.002,0.001,0.004,0.001,"No FabV","stutzeri","study_isolate",0.0625
"109A1","inh",".25",0.001,0,0.003,0.001,"No FabV","stutzeri","study_isolate",0.25
"109A1","inh",".125",0.001,0,0.002,0.000577350269189626,"No FabV","stutzeri","study_isolate",0.125
"109A1","inh",".5",0.00166666666666667,0,0.004,0.00120185042515466,"No FabV","stutzeri","study_isolate",0.5
"109A1","con","GC",0.464666666666667,0.397,0.509,0.0343721463461979,"No FabV","stutzeri","study_isolate",0
"109A1","con",".125",0.246333333333333,0.173,0.353,0.0545690184791497,"No FabV","stutzeri","study_isolate",0.125
"10A6","con",".25",0.0506666666666667,0.041,0.061,0.00578311719096582,"No FabV","psychrotolerans","study_isolate",0.25
"10A6","inh","16",0.000666666666666667,0,0.002,0.000666666666666667,"No FabV","psychrotolerans","study_isolate",16
"10A6","con",".125",0.174666666666667,0.069,0.369,0.0972905156962612,"No FabV","psychrotolerans","study_isolate",0.125
"10A6","con","32",0.001,0,0.002,0.000577350269189626,"No FabV","psychrotolerans","study_isolate",32
"10A6","con",".0625",0.386333333333333,0.22,0.614,0.117799735898591,"No FabV","psychrotolerans","study_isolate",0.0625
"10A6","inh","4",0.001,0,0.002,0.000577350269189626,"No FabV","psychrotolerans","study_isolate",4
"10A6","con","GC",0.397333333333333,0.323,0.447,0.0378608563617418,"No FabV","psychrotolerans","study_isolate",0
"10A6","con","1",0.005,-0.002,0.015,0.00513160143944688,"No FabV","psychrotolerans","study_isolate",1
"10A6","con","4",0.000666666666666667,-0.002,0.003,0.00145296631451356,"No FabV","psychrotolerans","study_isolate",4
"10A6","con","16",-0.000666666666666667,-0.002,0,0.000666666666666667,"No FabV","psychrotolerans","study_isolate",16
"10A6","con","2",0.001,-0.002,0.003,0.00152752523165195,"No FabV","psychrotolerans","study_isolate",2
"10A6","inh","2",0.001,0,0.002,0.000577350269189626,"No FabV","psychrotolerans","study_isolate",2
"10A6","inh","8",0,0,0,0,"No FabV","psychrotolerans","study_isolate",8
"10A6","inh","32",0.0186666666666667,0.002,0.04,0.0112150692275071,"No FabV","psychrotolerans","study_isolate",32
"10A6","inh",".125",0.000666666666666667,0,0.001,0.000333333333333333,"No FabV","psychrotolerans","study_isolate",0.125
"10A6","con","8",0.000333333333333333,-0.002,0.002,0.00120185042515466,"No FabV","psychrotolerans","study_isolate",8
