"isolate","ENR","triclosan_MIC","triclosan_MIC_w_inhibitor","clade_assignment"
"4A7","FabV",">128","1","P. putida"
"6C6","FabV","128","8","P. putida"
"8A1","No FabV","0.5","≤0.0625","P. stutzeri"
"10A6","No FabV","0.5","≤0.0625","P. oryzihabitans"
"20A1","FabV",">128","1","P. putida"
"31A8","FabV",">128","2","P. putida"
"34A1","FabV",">128","1","P. putida"
"39A1","No FabV","0.5","≤0.0625","P. oryzihabitans"
"45C2","No FabV","0.5","≤0.0625","P. viridiflava"
"56A10","FabV",">128","2","P. putida"
"57B2","No FabV","4","≤0.0625","P. stutzeri"
"62A4","No FabV","0.5",NA,"P. stutzeri"
"66C3","No FabV","0.5",NA,"P. putida"
"69C1","No FabV","1","≤0.0625","P. stutzeri"
"82B1","FabV",">128","8","P. putida"
"88B1","FabV",">128","2","P. putida"
"89C1","No FabV","0.125","≤0.0625","P. oryzihabitans"
"95A6","No FabV","0.125","≤0.0625","P. stutzeri"
"96A1","FabV",">128","16","P. fluorescens"
"97C1","No FabV","1","≤0.0625","P. oryzihabitans"
"99A1","No FabV","1",NA,"P. stutzeri"
"109A1","No FabV","1","≤0.0625","P. stutzeri"
"114A4","FabV",">128","16","P. fluorescens"
"115A1","No FabV","2","≤0.0625","P. stutzeri"
"119A3","No FabV","0.5",NA,"P. putida"
"HS1","FabV",">128","32","P. fluorescens"
"HS2","FabV",">128",">128","P. fluorescens"
"HS3","FabV",">128",">128","P. aeruginosa"
"HS4","FabV",">128",">128","P. aeruginosa"
"HS5","FabV",">128","32","P. putida"
"PAO1","FabV",">128","16","P. aeruginosa"
"KT2440","FabV",">128","2","P. putida"
