"filename","id","refseq_species","ANI_species_group","fabv_detected","type_strain","total_contigs","total_length","N50","Completeness","Contamination","overall_quality","refseq_description"
"GCF_000006765.1_ASM676v1_genomic.fna","NC_002516.2","pseudomonas_aeruginosa","aeruginosa",1,1,1,6264404,6264404,99.68,0.08,99.28,"Pseudomonas aeruginosa PAO1, complete genome"
"GCF_000007805.1_ASM780v1_genomic.fna","NC_004578.1","pseudomonas_syringae","avellanae",0,0,3,6538260,6397126,100,0.19,99.05,"Pseudomonas syringae pv. tomato str. DC3000, complete sequence"
"GCF_000012205.1_ASM1220v1_genomic.fna","NC_005773.3","pseudomonas_savastanoi","amygdali_group",0,0,3,6112448,5928787,100,0.14,99.3,"Pseudomonas savastanoi pv. phaseolicola 1448A, complete sequence"
"GCF_000012245.1_ASM1224v1_genomic.fna","NC_007005.1","pseudomonas_syringae","syringae",0,0,1,6093698,6093698,100,0.24,98.8,"Pseudomonas syringae pv. syringae B728a, complete sequence"
"GCF_000012265.1_ASM1226v1_genomic.fna","NC_004129.6","pseudomonas_protegens","protegens",1,0,1,7074893,7074893,99.68,0.72,96.08,"Pseudomonas protegens Pf-5, complete sequence"
"GCF_000013785.1_ASM1378v1_genomic.fna","NC_009434.1","pseudomonas_stutzeri","stutzeri",0,0,1,4567418,4567418,99.89,0.72,96.29,"Pseudomonas stutzeri A1501, complete genome"
"GCF_000014625.1_ASM1462v1_genomic.fna","NC_008463.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6537648,6537648,99.68,0.08,99.28,"Pseudomonas aeruginosa UCBPP-PA14, complete genome"
"GCF_000026645.1_ASM2664v1_genomic.fna","NC_011770.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6601757,6601757,99.68,0.42,97.58,"Pseudomonas aeruginosa LESB58, complete sequence"
"GCF_000145685.1_ASM14568v1_genomic.fna","NZ_GL384620.1","pseudomonas_amygdali","amygdali_group",0,0,268,5958273,87809,98.11,2.32,86.51,"Pseudomonas amygdali pv. aesculi str. 0893_23 Scaffold_1, whole genome shotgun sequence"
"GCF_000145745.1_ASM14574v1_genomic.fna","NZ_GL384710.1","pseudomonas_amygdali","avellanae",0,0,190,6031379,163518,98.8,0.36,97,"Pseudomonas amygdali pv. morsprunorum str. M302280 Scaffold_1, whole genome shotgun sequence"
"GCF_000145845.2_ASM14584v2_genomic.fna","NZ_CP047260.1","pseudomonas_syringae","cannabina",0,0,5,6593626,6115755,100,1.34,93.3,"Pseudomonas syringae pv. maculicola str. ES4326 chromosome, complete genome"
"GCF_000145865.1_ASM14586v1_genomic.fna","NZ_GL385072.1","pseudomonas_syringae","avellanae",0,0,248,5861664,65551,97.15,0.51,94.6,"Pseudomonas syringae pv. actinidiae str. M302091 Scaffold_1, whole genome shotgun sequence"
"GCF_000145885.1_ASM14588v1_genomic.fna","NZ_GL385192.1","pseudomonas_amygdali","avellanae",0,0,128,5901971,130583,99.49,0.19,98.54,"Pseudomonas amygdali pv. lachrymans str. M302278 Scaffold_1, whole genome shotgun sequence"
"GCF_000145945.2_ASM14594v2_genomic.fna","NZ_CP042804.1","pseudomonas_amygdali","amygdali_group",0,0,2,6201720,6133558,100,0.4,98,"Pseudomonas amygdali pv. tabaci str. ATCC 11528 chromosome, complete genome"
"GCF_000146005.1_ASM14600v1_genomic.fna","GG775127.1","pseudomonas_amygdali","amygdali_group",0,0,162,6749826,160102,98.73,4.41,76.68,"Pseudomonas amygdali pv. lachrymans str. M301315 genomic scaffold Scaffold_2, whole genome shotgun sequence"
"GCF_000146005.2_ASM14600v2_genomic.fna","NZ_CP031225.1","pseudomonas_amygdali","amygdali_group",0,0,4,7149865,6075120,99.68,5.02,74.58,"Pseudomonas amygdali pv. lachrymans str. M301315 chromosome, complete genome"
"GCF_000148745.1_ASM14874v1_genomic.fna","NZ_CM001020.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6866064,6866064,97.28,0.45,95.03,"Pseudomonas aeruginosa 39016 chromosome, whole genome shotgun sequence"
"GCF_000152525.1_ASM15252v1_genomic.fna","NZ_CH482383.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6222097,6222097,96.18,0.08,95.78,"Pseudomonas aeruginosa C3719 supercont1.1, whole genome shotgun sequence"
"GCF_000152545.1_ASM15254v1_genomic.fna","NZ_CH482384.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6905121,6905121,97.63,0.49,95.18,"Pseudomonas aeruginosa 2192 supercont1.1, whole genome shotgun sequence"
"GCF_000156995.2_ASM15699v2_genomic.fna","NZ_CP046035.1","pseudomonas_coronafaciens","tremae",0,0,2,5714458,5662937,100,0.24,98.8,"Pseudomonas coronafaciens pv. oryzae str. 1_6 chromosome, complete genome"
"GCF_000163275.1_ASM16327v1_genomic.fna","NZ_GG700435.1","pseudomonas_amygdali","amygdali_group",0,0,288,5968349,42561,98.96,0.08,98.56,"Pseudomonas amygdali pv. aesculi str. 2250 scf_4865_3047, whole genome shotgun sequence"
"GCF_000164015.3_ASM16401v3_genomic.fna","NZ_CP008742.1","pseudomonas_savastanoi","amygdali_group",0,0,1,6016828,6016828,99.68,0.72,96.08,"Pseudomonas savastanoi pv. savastanoi NCPPB 3335 chromosome, complete genome"
"GCF_000168335.1_ASM16833v1_genomic.fna","NZ_AAQW01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6492423,6492423,99.68,0.45,97.43,"Pseudomonas aeruginosa PACS2 chromosome, whole genome shotgun sequence"
