sseqid,stitle,mismatch,positive,gaps,ppos,pident,qcovs,evalue,bitscore,qseqid,cleaned_filename,motif_hits
4_BCBK01000001_01677,unannotated protein,150,306,5,77.27,60.859,98,5.979999999999996e-174,488.0,pao1_fabv,4_BCBK01000001,3
22_LVHH01000001_04263,unannotated protein,156,308,5,77.78,59.343,98,1.1499999999999993e-165,468.0,pao1_fabv,22_LVHH01000001,3
45_LHUU01000001_05785,unannotated protein,83,357,0,89.92,79.093,99,0.0,665.0,pao1_fabv,45_LHUU01000001,4
91_LKJO01000001_01907,unannotated protein,60,375,0,94.46,84.887,99,0.0,714.0,pao1_fabv,91_LKJO01000001,3
1_RABJ01000139_05579,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RABJ01000139,3
1_VIIF01000100_04610,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_VIIF01000100,3
1_FRHT01000189_02938,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRHT01000189,3
1_MULF01000001_01513,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MULF01000001,3
4_FPJI01000031_02335,unannotated protein,97,347,1,87.19,75.377,100,0.0,621.0,pao1_fabv,4_FPJI01000031,3
1_NRFX01000010_04341,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NRFX01000010,3
1_MPUR01000001_04068,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MPUR01000001,3
1_AYUC01000001_00747,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_AYUC01000001,3
1_NSVS01000001_04533,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSVS01000001,3
1_CAADQN010000001_05898,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADQN010000001,3
1_VWQK01000001_01671,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_VWQK01000001,3
1_LYTY01000100_02579,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_LYTY01000100,3
9_CADX01000090_04470,unannotated protein,83,356,0,89.67,79.093,99,0.0,664.0,pao1_fabv,9_CADX01000090,4
4_CVTR01000048_00735,unannotated protein,100,346,1,86.93,74.623,100,0.0,618.0,pao1_fabv,4_CVTR01000048,3
1_RWLN01000001_05171,unannotated protein,3,398,0,100.0,99.246,100,0.0,810.0,pao1_fabv,1_RWLN01000001,3
1_MAZH01000026_01937,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_MAZH01000026,3
4_USZT01000276_04995,unannotated protein,99,346,1,86.93,74.874,100,0.0,620.0,pao1_fabv,4_USZT01000276,3
1_MWYK01000001_04710,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MWYK01000001,3
1_NSNH01000001_00574,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSNH01000001,3
1_JTRQ01000001_00842,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTRQ01000001,3
1_JTNU01000001_00035,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTNU01000001,3
1_RWVG01000001_04850,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_RWVG01000001,3
1_LLMD01000001_02603,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLMD01000001,3
4_CVTV01000061_02560,unannotated protein,97,347,1,87.19,75.377,100,0.0,623.0,pao1_fabv,4_CVTV01000061,3
1_NRBZ01000001_05148,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NRBZ01000001,3
1_JTOW01000001_00394,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTOW01000001,3
4_PEMX01000100_03163,unannotated protein,155,307,5,77.53,59.596,98,1.0499999999999994e-165,468.0,pao1_fabv,4_PEMX01000100,3
1_FRLG01000106_00195,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRLG01000106,3
1_CP040127_02113,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CP040127,3
4_POIB01000100_01931,unannotated protein,156,301,7,76.2,58.734,98,7.239999999999996e-162,457.0,pao1_fabv,4_POIB01000100,2
1_NSSZ01000001_02714,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSSZ01000001,3
1_JTRS01000001_03443,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTRS01000001,3
1_RXWB01000001_01451,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RXWB01000001,3
1_QZYQ01000127_04335,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QZYQ01000127,3
1_CAADLG010000001_03371,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_CAADLG010000001,3
1_JTUQ01000001_03473,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTUQ01000001,3
1_FRUB01000323_03641,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRUB01000323,3
1_LZDA01000011_05901,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_LZDA01000011,3
1_CAADMO010000001_00169,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADMO010000001,3
4_PODQ01000100_04534,unannotated protein,99,346,1,86.93,74.874,100,0.0,619.0,pao1_fabv,4_PODQ01000100,3
1_FRKY01000085_05262,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRKY01000085,3
1_NSNP01000001_05714,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSNP01000001,3
62_JYLP01000010_05221,unannotated protein,97,347,1,87.19,75.377,100,0.0,621.0,pao1_fabv,62_JYLP01000010,3
1_FROO01000112_01145,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FROO01000112,3
80_PDJB01000001_01661,unannotated protein,97,345,1,86.68,75.377,100,0.0,621.0,pao1_fabv,80_PDJB01000001,3
1_KI519017_02689,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_KI519017,3
1_RXVG01000001_02154,unannotated protein,1,397,0,99.75,99.749,100,0.0,811.0,pao1_fabv,1_RXVG01000001,3
1_QVBD01000100_05674,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QVBD01000100,3
1_CAADLP010000001_03797,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADLP010000001,3
1_RWMQ01000001_03775,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_RWMQ01000001,3
1_JTSD01000001_02214,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_JTSD01000001,3
1_RWSX01000001_01254,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWSX01000001,3
1_JTYU01000001_05589,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTYU01000001,3
1_KK213223_01353,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_KK213223,3
1_NQZG01000100_00436,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NQZG01000100,3
107_CP027726_01552,unannotated protein,99,348,5,86.57,74.12899999999998,100,0.0,616.0,pao1_fabv,107_CP027726,3
1_RXUH01000001_01262,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RXUH01000001,3
1_NSRO01000001_02379,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSRO01000001,3
1_CTCU01000001_05126,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CTCU01000001,3
1_NSXT01000001_02439,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSXT01000001,3
9_012660_01588,unannotated protein,98,346,1,86.93,75.126,100,0.0,620.0,pao1_fabv,9_012660,3
1_KI519173_01447,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_KI519173,3
1_JTNC01000001_00402,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTNC01000001,3
1_KI519160_01379,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_KI519160,3
4_UVWZ01000341_03330,unannotated protein,97,345,1,86.68,75.377,100,0.0,621.0,pao1_fabv,4_UVWZ01000341,3
1_JTOM01000001_05506,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTOM01000001,3
14_CP027751_02614,unannotated protein,82,357,0,89.92,79.345,99,0.0,664.0,pao1_fabv,14_CP027751,4
