"filename","fabv_pa","cleaned_filename","mod_species","type"
"GCF_000006765.1_ASM676v1_genomic.fna",1,"1_002516","aeruginosa",1
"GCF_000007805.1_ASM780v1_genomic.fna",0,"0_004578","avellanae",0
"GCF_000012205.1_ASM1220v1_genomic.fna",0,"10_005773","amygdali_group",0
"GCF_000012245.1_ASM1224v1_genomic.fna",0,"0_007005","syringae",0
"GCF_000012265.1_ASM1226v1_genomic.fna",1,"47_004129","protegens",0
"GCF_000013785.1_ASM1378v1_genomic.fna",0,"2_009434","stutzeri",0
"GCF_000014625.1_ASM1462v1_genomic.fna",1,"1_008463","aeruginosa",0
"GCF_000026645.1_ASM2664v1_genomic.fna",1,"1_011770","aeruginosa",0
"GCF_000145685.1_ASM14568v1_genomic.fna",0,"6_GL384620","amygdali_group",0
"GCF_000145745.1_ASM14574v1_genomic.fna",0,"6_GL384710","avellanae",0
"GCF_000145845.2_ASM14584v2_genomic.fna",0,"0_CP047260","cannabina",0
"GCF_000145865.1_ASM14586v1_genomic.fna",0,"0_GL385072","avellanae",0
"GCF_000145885.1_ASM14588v1_genomic.fna",0,"6_GL385192","avellanae",0
"GCF_000145945.2_ASM14594v2_genomic.fna",0,"6_CP042804","amygdali_group",0
"GCF_000146005.1_ASM14600v1_genomic.fna",0,"6_75127","amygdali_group",0
"GCF_000146005.2_ASM14600v2_genomic.fna",0,"6_CP031225","amygdali_group",0
"GCF_000148745.1_ASM14874v1_genomic.fna",1,"1_CM001020","aeruginosa",0
"GCF_000152525.1_ASM15252v1_genomic.fna",1,"1_CH482383","aeruginosa",0
"GCF_000152545.1_ASM15254v1_genomic.fna",1,"1_CH482384","aeruginosa",0
"GCF_000156995.2_ASM15699v2_genomic.fna",0,"66_CP046035","tremae",0
"GCF_000163275.1_ASM16327v1_genomic.fna",0,"6_GG700435","amygdali_group",0
"GCF_000164015.3_ASM16401v3_genomic.fna",0,"10_CP008742","amygdali_group",0
"GCF_000168335.1_ASM16833v1_genomic.fna",1,"1_AAQW01000001","aeruginosa",0
"GCF_000172895.1_ASM17289v1_genomic.fna",0,"0_ABSM01000122","avellanae",0
"GCF_000177475.1_ASM17747v1_genomic.fna",0,"0_ADFZ01000349","avellanae",0
"GCF_000177495.1_ASM17749v1_genomic.fna",0,"0_ADGA01000304","avellanae",0
"GCF_000177515.1_ASM17751v1_genomic.fna",0,"0_ADGB01000296","congelans",0
"GCF_000187045.1_ASM18704v2_genomic.fna",0,"10_AEGG01000104","amygdali_group",0
"GCF_000187065.1_ASM18706v2_genomic.fna",0,"10_AEGH01000108","amygdali_group",0
"GCF_000194805.1_ASM19480v1_genomic.fna",0,"26_015379","brassicacearum_group",0
"GCF_000195105.1_ASM19510v1_genomic.fna",0,"2_017532","stutzeri",0
"GCF_000204295.1_ASM20429v1_genomic.fna",0,"33_015410","mendocina",0
"GCF_000215775.4_PA13_miseq_genomic.fna",1,"1_AEVV03000024","aeruginosa",0
"GCF_000215795.4_PA15_miseq_genomic.fna",1,"1_AEVW03000020","aeruginosa",0
"GCF_000219605.1_ASM21960v1_genomic.fna",0,"212_015740","stutzeri",1
"GCF_000222125.1_ASM22212v2_genomic.fna",0,"9_AFFX01000025","segetis",0
"GCF_000223925.1_ASM22392v2_genomic.fna",1,"1_AFXI01000002","aeruginosa",0
"GCF_000223945.1_ASM22394v2_genomic.fna",1,"1_AFXJ01000001","aeruginosa",0
"GCF_000223965.1_ASM22396v2_genomic.fna",1,"1_AFXK01000001","aeruginosa",0
"GCF_000226155.1_ASM22615v1_genomic.fna",1,"1_017548","aeruginosa",0
"GCF_000233495.1_Pseudomonas_sp_2_1_26_V1_genomic.fna",1,"1_JH376461","aeruginosa",0
"GCF_000236825.1_ASM23682v2_genomic.fna",0,"63_AHBD01000053","oryzihabitans_group",0
"GCF_000237065.1_ASM23706v1_genomic.fna",0,"11_016830","brassicacearum_group",0
"GCF_000242115.1_Pext14-3B_1.0_genomic.fna",1,"36_AHIP01000135","extremaustralis",0
"GCF_000245395.1_ASM24539v1_genomic.fna",0,"0_AGNN01000001","avellanae",0
"GCF_000245475.1_ASM24547v1_genomic.fna",0,"0_AGUH01000001","avellanae",0
"GCF_000247435.1_ASM24743v2_genomic.fna",1,"1_AHKM01000140","aeruginosa",0
"GCF_000250615.1_ASM25061v1_genomic.fna",0,"42_JH604622","fragi",0
"GCF_000251185.1_ASM25118v1_genomic.fna",1,"29_JH605124","asplenii_group",0
"GCF_000257545.3_ASM25754v3_genomic.fna",0,"104_CP005960","mandelii",0
"GCF_000257625.1_ASM25762v1_genomic.fna",1,"9_JH635997","simiae",0
"GCF_000258285.1_ASM25828v1_genomic.fna",1,"1_AJKG01000001","aeruginosa",0
"GCF_000259025.1_ASM25902v1_genomic.fna",1,"1_AJHI01000001","aeruginosa",0
"GCF_000259195.1_LF10417_PSEudwD_genomic.fna",1,"67_JH650757","donghuensis",1
"GCF_000262005.1_ASM26200v1_genomic.fna",1,"34_AHGZ01000001","monteilii",0
"GCF_000263695.1_ASM26369v2_genomic.fna",0,"11_CM001512","brassicacearum_group",0
"GCF_000264555.1_ASM26455v1_genomic.fna",1,"16_CM001490","chlororaphis",0
"GCF_000265035.1_ASM26503v1_genomic.fna",1,"1_AJXX01000001","aeruginosa",0
"GCF_000267545.1_ASM26754v1_genomic.fna",0,"2_018028","chloritidismutans_group",0
"GCF_000271365.1_ASM27136v1_genomic.fna",1,"1_018080","aeruginosa",0
"GCF_000271985.2_ASM27198v2_genomic.fna",1,"1_CP015877","aeruginosa",0
"GCF_000275945.1_ASM27594v1_genomic.fna",0,"6_AJXI01000001","amygdali_group",0
"GCF_000276565.1_ASM27656v1_genomic.fna",1,"83_AJXG01000001","tolaasii",0
"GCF_000280555.1_ASM28055v1_genomic.fna",0,"2_AKYE01000001","stutzeri",0
"GCF_000280575.1_ASM28057v1_genomic.fna",1,"29_ALAQ01000001","asplenii_group",0
"GCF_000280785.1_ASM28078v1_genomic.fna",1,"197_AKBQ01000001","agarici",0
"GCF_000281915.1_ASM28191v1_genomic.fna",1,"16_CM001559","chlororaphis",0
"GCF_000282175.1_Pseudomonas.strGM17_v1.0_genomic.fna",1,"9_AKJU01000001","chlororaphis",0
"GCF_000282735.1_ASM28273v1_genomic.fna",0,"0_ALAC01000001","syringae",0
"GCF_000282915.1_MWR44.1-1.0_genomic.fna",1,"1_ALBW01000001","aeruginosa",0
"GCF_000282955.1_ASM28295v1_genomic.fna",0,"2_ALJB01000001","stutzeri",0
"GCF_000284555.1_ASM28455v1_genomic.fna",1,"1_017549","aeruginosa",0
"GCF_000285395.1_ASM28539v1_genomic.fna",1,"24_CAED01000262","monteilii",0
"GCF_000285955.1_ASM28595v1_genomic.fna",1,"11_X01000090","protegens",0
"GCF_000287815.1_ASM28781v2_genomic.fna",1,"1_ALBV02000235","aeruginosa",0
"GCF_000287875.1_AH16_genomic.fna",1,"1_ALJH01000001","aeruginosa",0
"GCF_000291745.1_ASM29174v1_genomic.fna",1,"1_DF126593","aeruginosa",0
"GCF_000296325.1_PAO579-1.0_genomic.fna",1,"1_ALOF01000001","aeruginosa",0
"GCF_000297075.2_Ppseudo_final_genomic.fna",0,"166_HG916826","oleovorans_group",0
"GCF_000297275.1_ASM29727v1_genomic.fna",1,"1_AKZD01000001","aeruginosa",0
"GCF_000297335.1_ASM29733v1_genomic.fna",1,"1_AKZG01000001","aeruginosa",0
"GCF_000297355.1_ASM29735v1_genomic.fna",1,"1_AKZH01000001","aeruginosa",0
"GCF_000302795.1_Pav013_1.0_genomic.fna",0,"0_JH951825","syringae",0
"GCF_000302815.1_Pav037_1.0_genomic.fna",0,"0_JH951862","syringae",0
"GCF_000302915.1_Pav631_1.0_genomic.fna",0,"46_JH951446","avellanae",0
"GCF_000307715.1_PseVir1.0_genomic.fna",0,"4_AMQP01000001","viridiflava",0
"GCF_000313235.1_PAMC26508ASM01_genomic.fna",1,"9_AMXG01000001","yamanorum",0
"GCF_000317185.3_M1_v2.0_genomic.fna",1,"9_ANIR02000004","citronellolis_group",0
"GCF_000319815.1_Psalc341.0_genomic.fna",0,"82_ANGB01000001","alcaliphila_group",0
"GCF_000331385.1_PSSB64v1.0_genomic.fna",0,"0_CM001763","syringae",0
