Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
GCF_000006765.1_ASM676v1_genomic	Pseudomonas (5)	182	833	312	1	831	1	0	0	0	99.68	0.08	0.00
GCF_000019225.1_ASM1922v1_genomic	Pseudomonas (5)	182	833	312	86	732	15	0	0	0	82.95	1.69	0.00
GCF_000026105.1_ASM2610v1_genomic	Pseudomonas (5)	182	833	312	2	825	6	0	0	0	99.36	0.56	0.00
GCF_000219605.1_ASM21960v1_genomic	Pseudomonas (5)	182	833	312	1	829	3	0	0	0	99.89	0.30	0.00
GCF_000259195.1_LF10417_PSEudwD_genomic	Pseudomonas (5)	182	833	312	8	820	5	0	0	0	98.58	0.91	0.00
GCF_000364625.1_ASM36462v1_genomic	Pseudomonas (5)	182	833	312	12	816	5	0	0	0	98.08	1.20	0.00
GCF_000397205.1_ASM39720v1_genomic	Pseudomonas (5)	182	833	312	1	829	3	0	0	0	99.68	0.72	0.00
GCF_000410875.1_KCCM90073_genomic	Pseudomonas (5)	182	833	312	41	778	12	1	1	0	92.60	1.49	0.00
GCF_000412675.1_ASM41267v1_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.11	0.00
GCF_000423545.1_ASM42354v1_genomic	Pseudomonas (5)	182	833	312	1	826	6	0	0	0	99.68	0.80	0.00
GCF_000425625.1_ASM42562v1_genomic	Pseudomonas (5)	182	833	312	3	820	10	0	0	0	99.04	1.35	0.00
GCF_000425745.1_ASM42574v1_genomic	Pseudomonas (5)	182	833	312	3	827	3	0	0	0	99.75	0.17	0.00
GCF_000425765.1_ASM42576v1_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.11	0.00
GCF_000425785.1_ASM42578v1_genomic	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.22	0.00
GCF_000425805.1_ASM42580v1_genomic	Pseudomonas (5)	182	833	312	0	826	7	0	0	0	100.00	1.04	0.00
GCF_000444135.1_CLC6_0_3_genomic	Pseudomonas (5)	182	833	312	2	829	2	0	0	0	99.36	0.19	0.00
GCF_000495915.1_PseChl_genomic	Pseudomonas (5)	182	833	312	21	768	43	1	0	0	95.03	5.42	86.96
GCF_000498575.2_MS-3_genomic	Pseudomonas (5)	182	833	312	3	816	14	0	0	0	99.25	1.85	14.29
