sseqid,pident,qcovs,bitscore,qseqid,cleaned_filename,homologID,speciesID,genID,inputtedDelimID
56_CP009048_04521,58.987,98,467,pao1_fabv,56_CP009048,04521,alkylphenolica,CP009048,alkylphenolica_04521
130_LT629777_04761,80.402,100,658,pao1_fabv,130_LT629777,04761,asplenii,LT629777,asplenii_04761
140_LT629802_01009,74.874,100,624,pao1_fabv,140_LT629802,01009,mucidolens,LT629802,mucidolens_01009
127_010995_01382,63.939,98,507,pao1_fabv,127_010995,01382,cjaponicus,010995,cjaponicus_01382
25_LT629699_02165,75.126,100,619,pao1_fabv,25_LT629699,02165,libanensis,LT629699,libanensis_02165
71_LT629782_05125,75.377,100,624,pao1_fabv,71_LT629782,05125,orientalis,LT629782,orientalis_05125
144_FORC01000015_04118,61.461,98,493,pao1_fabv,144_FORC01000015,04118,argentinensis,FORC01000015,argentinensis_04118
8_AUED01000001_01389,60.253,98,463,pao1_fabv,8_AUED01000001,01389,vranovensis,AUED01000001,vranovensis_01389
154_FOMO01000020_02776,60.957,98,493,pao1_fabv,154_FOMO01000020,02776,straminea,FOMO01000020,straminea_02776
1_002516_03025,100.0,100,815,pao1_fabv,1_002516,03025,aeruginosa,002516,aeruginosa_03025
132_LT629972_03467,80.151,100,655,pao1_fabv,132_LT629972,03467,fuscovaginae,LT629972,fuscovaginae_03467
160_6C6_03413,61.675,98,474,pao1_fabv,160_6C6,03413,6C6,6C6,6C6_03413
70_FNSP01000007_02979,75.879,100,625,pao1_fabv,70_FNSP01000007,02979,panacis,FNSP01000007,panacis_02979
160_4A7_02728,60.606,98,484,pao1_fabv,160_4A7,02728,4A7,4A7,4A7_02728
106_JHYV01000001_05094,60.606,98,474,pao1_fabv,106_JHYV01000001,05094,monteilii,JHYV01000001,monteilii_05094
157_FNTS01000002_04859,76.131,100,626,pao1_fabv,157_FNTS01000002,04859,costantinii,FNTS01000002,costantinii_04859
160_20A1_02468,61.111,98,484,pao1_fabv,160_20A1,02468,20A1,20A1,20A1_02468
7_FMYX01000029_04401,59.596,98,484,pao1_fabv,7_FMYX01000029,04401,guariconensis,FMYX01000029,guariconensis_04401
110_FNDS01000032_03507,86.65,99,722,pao1_fabv,110_FNDS01000032,03507,panipatensis,FNDS01000032,panipatensis_03507
160_114A4_01743,76.884,100,639,pao1_fabv,160_114A4,01743,114A4,114A4,114A4_01743
156_FZOM01000015_00632,85.894,99,720,pao1_fabv,156_FZOM01000015,00632,nitroreducens,FZOM01000015,nitroreducens_00632
60_LT907842_03771,75.377,100,623,pao1_fabv,60_LT907842,03771,fluorescens,LT907842,fluorescens_03771
139_CP014135_04394,79.648,100,649,pao1_fabv,139_CP014135,04394,agarici,CP014135,agarici_04394
152_021505_00719,60.354,98,486,pao1_fabv,152_021505,00719,putida,021505,putida_00719
39_FRBQ01000019_03868,61.209,98,493,pao1_fabv,39_FRBQ01000019,03868,punonensis,FRBQ01000019,punonensis_03868
58_FOJP01000049_00134,86.65,99,720,pao1_fabv,58_FOJP01000049,00134,otitidis,FOJP01000049,otitidis_00134
36_FNOX01000039_02749,74.378,100,619,pao1_fabv,36_FNOX01000039,02749,salomonii,FNOX01000039,salomonii_02749
47_PHHD01000001_05763,74.874,100,618,pao1_fabv,47_PHHD01000001,05763,tolaasii,PHHD01000001,tolaasii_05763
160_96A1_03173,75.377,100,621,pao1_fabv,160_96A1,03173,96A1,96A1,96A1_03173
160_34A1_03090,60.354,98,473,pao1_fabv,160_34A1,03090,34A1,34A1,34A1_03090
149_JHYX01000001_04431,58.228,98,458,pao1_fabv,149_JHYX01000001,04431,plecoglossicida,JHYX01000001,plecoglossicida_04431
72_FNKR01000003_05145,74.623,100,620,pao1_fabv,72_FNKR01000003,05145,gessardii,FNKR01000003,gessardii_05145
125_LT629800_00676,74.874,100,621,pao1_fabv,125_LT629800,00676,brenneri,LT629800,brenneri_00676
93_FNBM01000017_03184,59.343,98,485,pao1_fabv,93_FNBM01000017,03184,seleniipraecipitans,FNBM01000017,seleniipraecipitans_03184
160_HS2_03033,75.377,100,621,pao1_fabv,160_HS2,03033,HS2,HS2,HS2_03033
63_008027_04215,59.241,98,460,pao1_fabv,63_008027,04215,entomophila,008027,entomophila_04215
61_FNSU01000004_06216,75.628,100,630,pao1_fabv,61_FNSU01000004,06216,marginalis,FNSU01000004,marginalis_06216
120_FNUA01000002_00281,76.131,100,626,pao1_fabv,120_FNUA01000002,00281,palleroniana,FNUA01000002,palleroniana_00281
94_JH650757_02728,60.0,98,461,pao1_fabv,94_JH650757,02728,donghuensis,JH650757,donghuensis_02728
160_56A10_00797,60.101,98,474,pao1_fabv,160_56A10,00797,56A10,56A10,56A10_00797
92_LT629702_05760,75.377,100,623,pao1_fabv,92_LT629702,05760,azotoformans,LT629702,azotoformans_05760
64_JMIT01000001_04747,60.101,98,484,pao1_fabv,64_JMIT01000001,04747,capeferrum,JMIT01000001,capeferrum_04747
