sseqid,stitle,mismatch,positive,gaps,ppos,pident,qcovs,evalue,bitscore,qseqid,cleaned_filename
1_QJPG01000077_01712,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QJPG01000077
1_QZGE01000001_05631,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QZGE01000001
1_QDGO01000001_01300,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QDGO01000001
135_MOBB01000022_03983,unannotated protein,96,348,0,87.44,75.87899999999998,100,0.0,630.0,pao1_fabv,135_MOBB01000022
9_QTUF01000001_04078,unannotated protein,98,347,1,87.19,75.126,100,0.0,624.0,pao1_fabv,9_QTUF01000001
1_LLSJ01000001_00230,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLSJ01000001
1_CAADMV010000001_03709,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADMV010000001
34_VDNF01000010_02042,unannotated protein,145,311,5,78.54,62.121,98,3.459999999999999e-177,496.0,pao1_fabv,34_VDNF01000010
4_UWFG01000344_01290,unannotated protein,99,346,1,86.93,74.874,100,0.0,619.0,pao1_fabv,4_UWFG01000344
1_CP029605_02040,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_CP029605
47_LHUW01000001_05686,unannotated protein,84,355,0,89.42,78.84100000000002,99,0.0,660.0,pao1_fabv,47_LHUW01000001
1_NRFE01000010_04130,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NRFE01000010
1_OVCV01000156_04553,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_OVCV01000156
1_NSOD01000001_04415,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSOD01000001
1_QHLE01000100_00587,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_QHLE01000100
1_LLON01000001_03784,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLON01000001
1_FRJQ01000203_02622,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRJQ01000203
1_RWVA01000001_04211,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWVA01000001
9_QKLL01000001_02994,unannotated protein,83,357,0,89.92,79.093,99,0.0,664.0,pao1_fabv,9_QKLL01000001
9_FWZV01000034_02660,unannotated protein,95,350,0,87.94,76.131,100,0.0,634.0,pao1_fabv,9_FWZV01000034
27_UYXT01000001_00913,unannotated protein,95,345,1,86.68,75.87899999999998,100,0.0,622.0,pao1_fabv,27_UYXT01000001
1_RABJ01000139_05579,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RABJ01000139
1_VIIF01000100_04610,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_VIIF01000100
1_FRHT01000189_02938,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRHT01000189
19_JURS01000379_02911,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,19_JURS01000379
1_MULF01000001_01513,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MULF01000001
9_CP029983_02262,unannotated protein,99,349,0,87.69,75.126,100,0.0,629.0,pao1_fabv,9_CP029983
11_MSDF01000012_01066,unannotated protein,97,345,1,86.68,75.377,100,0.0,622.0,pao1_fabv,11_MSDF01000012
1_NRFX01000010_04341,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NRFX01000010
1_MPUR01000001_04068,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MPUR01000001
1_AYUC01000001_00747,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_AYUC01000001
1_NSVS01000001_04533,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSVS01000001
1_CAADQN010000001_05898,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADQN010000001
16_LHVA01000001_01856,unannotated protein,82,357,0,89.92,79.345,99,0.0,664.0,pao1_fabv,16_LHVA01000001
1_VWQK01000001_01671,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_VWQK01000001
16_CP027714_02536,unannotated protein,83,356,0,89.67,79.093,99,0.0,663.0,pao1_fabv,16_CP027714
1_LYTY01000100_02579,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_LYTY01000100
1_RWLN01000001_05171,unannotated protein,3,398,0,100.0,99.246,100,0.0,810.0,pao1_fabv,1_RWLN01000001
1_MAZH01000026_01937,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_MAZH01000026
4_USZT01000276_04995,unannotated protein,99,346,1,86.93,74.874,100,0.0,620.0,pao1_fabv,4_USZT01000276
1_MWYK01000001_04710,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MWYK01000001
1_NSNH01000001_00574,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSNH01000001
1_JTRQ01000001_00842,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTRQ01000001
1_JTNU01000001_00035,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTNU01000001
1_RWVG01000001_04850,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_RWVG01000001
1_LLMD01000001_02603,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLMD01000001
1_NRBZ01000001_05148,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NRBZ01000001
1_JTOW01000001_00394,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTOW01000001
1_FRLG01000106_00195,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRLG01000106
1_CP040127_02113,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CP040127
50_LT629760_02742,unannotated protein,96,347,1,87.19,75.628,100,0.0,622.0,pao1_fabv,50_LT629760
1_NSSZ01000001_02714,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSSZ01000001
87_FNDG01000051_04979,unannotated protein,152,304,4,76.77,60.606,98,1.8999999999999994e-174,489.0,pao1_fabv,87_FNDG01000051
1_JTRS01000001_03443,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTRS01000001
34_BCAP01000001_03737,unannotated protein,154,309,5,78.03,59.848,98,1.2699999999999992e-172,485.0,pao1_fabv,34_BCAP01000001
1_RXWB01000001_01451,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RXWB01000001
1_QZYQ01000127_04335,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QZYQ01000127
1_CAADLG010000001_03371,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_CAADLG010000001
1_JTUQ01000001_03473,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTUQ01000001
1_FRUB01000323_03641,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRUB01000323
205_QKVM01000001_00141,unannotated protein,154,301,7,76.2,59.24100000000001,98,9.059999999999992e-163,460.0,pao1_fabv,205_QKVM01000001
1_LZDA01000011_05901,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_LZDA01000011
1_CAADMO010000001_00169,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADMO010000001
1_FRKY01000085_05262,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRKY01000085
1_NSNP01000001_05714,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSNP01000001
65_QTSW01000001_00751,unannotated protein,99,347,1,87.19,74.874,100,0.0,619.0,pao1_fabv,65_QTSW01000001
34_VDNM01000010_02243,unannotated protein,145,311,5,78.54,62.121,98,3.459999999999999e-177,496.0,pao1_fabv,34_VDNM01000010
1_NQZG01000100_00436,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NQZG01000100
1_RXUH01000001_01262,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RXUH01000001
1_NSRO01000001_02379,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSRO01000001
1_CTCU01000001_05126,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CTCU01000001
1_NSXT01000001_02439,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSXT01000001
9_CP027730_01545,unannotated protein,98,346,1,86.93,75.126,100,0.0,619.0,pao1_fabv,9_CP027730
1_KI519173_01447,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_KI519173
1_JTNC01000001_00402,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTNC01000001
1_KI519160_01379,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_KI519160
4_UVWZ01000341_03330,unannotated protein,97,345,1,86.68,75.377,100,0.0,621.0,pao1_fabv,4_UVWZ01000341
219_FOMO01000020_02776,unannotated protein,150,310,5,78.09,60.957,98,7.199999999999996e-176,493.0,pao1_fabv,219_FOMO01000020
9_AP014628_02791,unannotated protein,83,357,0,89.92,79.093,99,0.0,664.0,pao1_fabv,9_AP014628
1_JTOM01000001_05506,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTOM01000001
1_MVBS01000001_01839,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MVBS01000001
1_CAADLR010000001_04788,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADLR010000001
1_CAADPI010000001_03157,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADPI010000001
34_JFBC01000001_02297,unannotated protein,154,308,5,77.78,59.848,98,1.759999999999999e-166,469.0,pao1_fabv,34_JFBC01000001
1_PSQR01000001_05877,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_PSQR01000001
1_FRIJ01000104_04114,unannotated protein,1,398,0,100.0,99.749,100,0.0,813.0,pao1_fabv,1_FRIJ01000104
1_MPVE01000001_04032,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_MPVE01000001
1_KI518886_00892,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_KI518886
1_VIGZ01000100_04110,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_VIGZ01000100
1_LEGQ01000001_03071,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEGQ01000001
47_MAUK01000002_03843,unannotated protein,83,357,0,89.92,79.093,99,0.0,665.0,pao1_fabv,47_MAUK01000002
1_CAADOK010000001_03126,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADOK010000001
1_LLQJ01000001_04554,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLQJ01000001
1_WHVN01000100_02888,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_WHVN01000100
4_UVVJ01000213_02235,unannotated protein,96,349,0,87.69,75.87899999999998,100,0.0,633.0,pao1_fabv,4_UVVJ01000213
1_RWZX01000001_04405,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWZX01000001
1_JUAB01000001_01666,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_JUAB01000001
1_LEHH01000001_00716,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LEHH01000001
1_LLSG01000001_04660,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LLSG01000001
1_CAADQL010000001_01893,unannotated protein,1,398,0,100.0,99.749,100,0.0,813.0,pao1_fabv,1_CAADQL010000001
1_LJJO01000001_02154,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_LJJO01000001
1_CAADNZ010000001_02673,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADNZ010000001
1_FRPH01000139_05085,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRPH01000139
1_FRPN01000109_04641,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRPN01000109
1_QVCL01000100_04141,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QVCL01000100
1_RACW01000535_04211,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RACW01000535
1_CWER01000001_00922,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CWER01000001
1_PXUG01000095_01552,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_PXUG01000095
1_NSRX01000001_02602,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSRX01000001
1_NLBG01000001_00332,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NLBG01000001
1_RADH01000025_05286,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RADH01000025
91_CP049140_04300,unannotated protein,56,374,0,94.21,85.89399999999998,99,0.0,718.0,pao1_fabv,91_CP049140
91_CP049140_01424,unannotated protein,79,352,0,88.66,80.101,99,0.0,665.0,pao1_fabv,91_CP049140
9_QHHP01000037_01131,unannotated protein,83,356,0,89.67,79.093,99,0.0,663.0,pao1_fabv,9_QHHP01000037
1_LCSW01000001_04947,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_LCSW01000001
1_RRBK01000100_02449,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_RRBK01000100
9_KV801360_01632,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,9_KV801360
24_CP015202_04454,unannotated protein,153,309,5,78.03,60.101000000000006,98,2.0299999999999996e-167,472.0,pao1_fabv,24_CP015202
1_QZZB01000083_02610,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QZZB01000083
24_MING01000001_01752,unannotated protein,153,309,5,78.03,60.101000000000006,98,2.0499999999999986e-167,472.0,pao1_fabv,24_MING01000001
9_VZII01000072_01864,unannotated protein,154,308,5,77.78,59.848,98,2.799999999999998e-166,469.0,pao1_fabv,9_VZII01000072
1_CUWV01000001_02880,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CUWV01000001
9_CVTN01000088_01984,unannotated protein,101,347,1,87.19,74.372,100,0.0,616.0,pao1_fabv,9_CVTN01000088
1_NSXE01000001_03889,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSXE01000001
9_LT629744_03799,unannotated protein,97,347,1,87.19,75.377,100,0.0,621.0,pao1_fabv,9_LT629744
44_AVQG01000001_00461,unannotated protein,99,346,1,86.93,74.874,100,0.0,619.0,pao1_fabv,44_AVQG01000001
1_QDGQ01000001_00679,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QDGQ01000001
9_FZOZ01000025_00053,unannotated protein,151,309,5,78.03,60.606,98,2.1299999999999987e-168,474.0,pao1_fabv,9_FZOZ01000025
9_KV807281_03241,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,9_KV807281
1_CP008859_01995,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CP008859
1_FROO01000112_01145,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FROO01000112
1_KI519017_02689,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_KI519017
1_RXVG01000001_02154,unannotated protein,1,397,0,99.75,99.749,100,0.0,811.0,pao1_fabv,1_RXVG01000001
1_QVBD01000100_05674,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_QVBD01000100
1_CAADLP010000001_03797,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_CAADLP010000001
1_RWMQ01000001_03775,unannotated protein,1,397,0,99.75,99.749,100,0.0,813.0,pao1_fabv,1_RWMQ01000001
1_JTSD01000001_02214,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_JTSD01000001
1_RWSX01000001_01254,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RWSX01000001
1_JTYU01000001_05589,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_JTYU01000001
9_PODS01000100_04527,unannotated protein,99,346,1,86.93,74.874,100,0.0,619.0,pao1_fabv,9_PODS01000100
1_KK213223_01353,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_KK213223
1_FRIT01000143_01796,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_FRIT01000143
1_LLPX01000001_04054,unannotated protein,1,397,0,99.75,99.749,100,0.0,812.0,pao1_fabv,1_LLPX01000001
1_NSZB01000001_04060,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_NSZB01000001
9_ATLM01000001_05183,unannotated protein,98,347,1,87.19,75.126,100,0.0,620.0,pao1_fabv,9_ATLM01000001
1_RAFS01000045_01768,unannotated protein,0,398,0,100.0,100.0,100,0.0,815.0,pao1_fabv,1_RAFS01000045
