Bin Id,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity
GCF_000148745.1_ASM14874v1_genomic,Pseudomonas (5),182,833,312,19,811,3,0,0,0,97.28,0.45,0.0
GCF_000223925.1_ASM22392v2_genomic,Pseudomonas (5),182,833,312,2,826,5,0,0,0,99.36,0.51,0.0
GCF_000245475.1_ASM24547v1_genomic,Pseudomonas (5),182,833,312,8,823,2,0,0,0,99.26,0.19,0.0
GCF_000271985.2_ASM27198v2_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.19,0.0
GCF_000278565.1_ASM27856v1_genomic,Pseudomonas (5),182,833,312,1,826,6,0,0,0,99.94,0.55,16.67
GCF_000287875.1_AH16_genomic,Pseudomonas (5),182,833,312,2,830,1,0,0,0,99.6,0.08,0.0
GCF_000344475.3_ASM34447v3_genomic,Pseudomonas (5),182,833,312,0,830,3,0,0,0,100.0,0.14,0.0
GCF_000416885.1_ASM41688v1_genomic,Pseudomonas (5),182,833,312,3,828,2,0,0,0,99.04,0.19,0.0
GCF_000452445.2_ASM45244v3_genomic,Pseudomonas (5),182,833,312,0,831,2,0,0,0,100.0,0.24,0.0
GCF_000481545.1_Pseu_aeru_BWH008_V1_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.53,0.0
GCF_000481885.1_Pseu_aeru_CF5_V1_genomic,Pseudomonas (5),182,833,312,3,829,1,0,0,0,99.41,0.08,0.0
GCF_000481945.1_Pseu_aeru_CF127_V1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_000512275.1_ASM51227v1_genomic,Pseudomonas (5),182,833,312,1,824,8,0,0,0,99.68,0.59,75.0
GCF_000520295.1_Pseu_aeru_BWHPSA045_V1_genomic,Pseudomonas (5),182,833,312,1,828,4,0,0,0,99.68,0.45,0.0
GCF_000629045.1_Pseu_aeru_BWH035_V1_genomic,Pseudomonas (5),182,833,312,1,830,2,0,0,0,99.68,0.11,0.0
GCF_000629085.1_Pseu_aeru_BWH032_V1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_000629125.1_Pseu_aeru_BWH030_V1_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_000629205.1_Pseu_aeru_3579_V1_genomic,Pseudomonas (5),182,833,312,2,827,4,0,0,0,99.57,0.47,0.0
GCF_000629505.1_Pseu_aeru_BWH054_V1_genomic,Pseudomonas (5),182,833,312,1,826,5,1,0,0,99.68,0.68,12.5
GCF_000647635.1_PseAerIGB83_1.0_genomic,Pseudomonas (5),182,833,312,1,831,1,0,0,0,99.68,0.08,0.0
GCF_000696345.1_ASM69634v1_genomic,Pseudomonas (5),182,833,312,3,825,5,0,0,0,99.36,0.91,0.0
GCF_000730565.1_ASM73056v1_genomic,Pseudomonas (5),182,833,312,0,831,2,0,0,0,100.0,0.11,0.0
GCF_000756575.1_ASM75657v1_genomic,Pseudomonas (5),182,833,312,2,828,3,0,0,0,99.6,0.29,33.33
GCF_000765305.1_ASM76530v1_genomic,Pseudomonas (5),182,833,312,0,831,2,0,0,0,100.0,0.19,0.0
GCF_000785125.1_ASM78512v1_genomic,Pseudomonas (5),182,833,312,1,829,3,0,0,0,99.68,0.51,0.0
GCF_000789485.1_AZPAE15049_genomic,Pseudomonas (5),182,833,312,9,822,2,0,0,0,98.23,0.19,50.0
GCF_000789625.1_AZPAE14842_genomic,Pseudomonas (5),182,833,312,2,827,4,0,0,0,99.36,0.45,0.0
GCF_000789905.1_AZPAE14853_genomic,Pseudomonas (5),182,833,312,2,824,7,0,0,0,99.6,0.86,0.0
