"filename","cleaned_filename","sseqid","stitle","mismatch","positive","gaps","ppos","pident","qcovs","evalue","bitscore","qseqid","mod_species","ani","clade","fabv_pa"
"GCF_000006765.1_ASM676v1_genomic.fna","1_002516","1_002516_03025","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",100,"aeruginosa",1
"GCF_000007805.1_ASM780v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",95.5269,"syringae",0
"GCF_000012205.1_ASM1220v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amygdali_group",98.0152,"syringae",0
"GCF_000012245.1_ASM1224v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syringae",95.0349,"syringae",0
"GCF_000012265.1_ASM1226v1_genomic.fna","47_004129","47_004129_03341","unannotated protein",83,356,0,89.67,79.093,99,0,664,"pao1_fabv","protegens",98.7555,"fluorescens",1
"GCF_000013785.1_ASM1378v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stutzeri",97.2718,"stutzeri",0
"GCF_000014625.1_ASM1462v1_genomic.fna","1_008463","1_008463_02072","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",98.7321,"aeruginosa",1
"GCF_000026645.1_ASM2664v1_genomic.fna","1_011770","1_011770_02163","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.3303,"aeruginosa",1
"GCF_000145685.1_ASM14568v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amygdali_group",98.8165,"syringae",0
"GCF_000145745.1_ASM14574v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.5052,"syringae",0
"GCF_000145845.2_ASM14584v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cannabina",97.5361,"syringae",0
"GCF_000145865.1_ASM14586v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",97.3298,"syringae",0
"GCF_000145885.1_ASM14588v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",95.5799,"syringae",0
"GCF_000145945.2_ASM14594v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amygdali_group",98.7563,"syringae",0
"GCF_000146005.1_ASM14600v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amygdali_group",99.7418,"syringae",0
"GCF_000146005.2_ASM14600v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amygdali_group",99.8739,"syringae",0
"GCF_000148745.1_ASM14874v1_genomic.fna","1_CM001020","1_CM001020_03399","unannotated protein",1,397,0,99.75,99.749,100,0,812,"pao1_fabv","aeruginosa",98.6063,"aeruginosa",1
"GCF_000152525.1_ASM15252v1_genomic.fna","1_CH482383","1_CH482383_01960","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.1708,"aeruginosa",1
"GCF_000152545.1_ASM15254v1_genomic.fna","1_CH482384","1_CH482384_02417","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.228,"aeruginosa",1
"GCF_000156995.2_ASM15699v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tremae",99.0467,"syringae",0
"GCF_000163275.1_ASM16327v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amygdali_group",98.8335,"syringae",0
"GCF_000164015.3_ASM16401v3_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amygdali_group",99.6029,"syringae",0
"GCF_000168335.1_ASM16833v1_genomic.fna","1_AAQW01000001","1_AAQW01000001_03691","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.2626,"aeruginosa",1
"GCF_000172895.1_ASM17289v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",95.5631,"syringae",0
"GCF_000177475.1_ASM17747v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",95.5964,"syringae",0
"GCF_000177495.1_ASM17749v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"avellanae",95.5327,"syringae",0
"GCF_000177515.1_ASM17751v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"congelans",98.4706,"syringae",0
"GCF_000187045.1_ASM18704v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amygdali_group",98.0881,"syringae",0
"GCF_000187065.1_ASM18706v2_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amygdali_group",98.0616,"syringae",0
"GCF_000194805.1_ASM19480v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brassicacearum_group",99.5278,"fluorescens",0
"GCF_000195105.1_ASM19510v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stutzeri",97.5909,"stutzeri",0
"GCF_000204295.1_ASM20429v1_genomic.fna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mendocina",98.069,"oleovorans",0
"GCF_000215775.4_PA13_miseq_genomic.fna","1_AEVV03000024","1_AEVV03000024_03126","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",99.264,"aeruginosa",1
"GCF_000215795.4_PA15_miseq_genomic.fna","1_AEVW03000020","1_AEVW03000020_04792","unannotated protein",0,398,0,100,100,100,0,815,"pao1_fabv","aeruginosa",98.7318,"aeruginosa",1
