description,filename,id,species,source,species_code,cleaned_filename,contigs_greater_0_bp,contigs_greater_1000_bp,contigs_greater_5000_bp,contigs_greater_10000_bp,contigs_greater_25000_bp,contigs_greater_50000_bp,total_length_greater_0_bp,total_length_greater_1000_bp,total_length_greater_5000_bp,total_length_greater_10000_bp,total_length_greater_25000_bp,total_length_greater_50000_bp,total_contigs,largest_contig,total_length,N50,N75,L50,L75,number_Ns_per_100_kbp
"Pseudomonas syringae BRIP34881 scaffold1, whole genome shotgun sequence",GCF_000334055.1_34881_v2.0_genomic.fna,NZ_KB316531.1,syringae,REFSEQ,0,0_KB316531,96,61,39,33,31,23,6017073,6001613,5948113,5910259,5865307,5609255,72,1158799,6009341,299805,163552,6,13,147.84
"Pseudomonas aeruginosa strain Pae_CF67.10l CF67.10l_contig_1, whole genome shotgun sequence",GCF_001035885.1_ASM103588v1_genomic.fna,NZ_LEIK01000001.1,aeruginosa,REFSEQ,1,1_LEIK01000001,119,78,63,57,51,38,6404651,6388442,6360220,6322763,6217942,5719064,86,570160,6394098,139375,96256,11,25,27.24
"Pseudomonas aeruginosa strain AUS702 IPC339_1.1, whole genome shotgun sequence",GCF_003839315.1_ASM383931v1_genomic.fna,NZ_NSXY01000001.1,aeruginosa,REFSEQ,1,1_NSXY01000001,46,42,38,35,31,26,6564509,6561873,6547566,6528790,6452195,6283056,46,599168,6564509,347727,161304,8,15,12.29
"Pseudomonas aeruginosa strain Pae111 NODE_10_length_206097_cov_13.8673, whole genome shotgun sequence",GCF_002216335.1_ASM221633v1_genomic.fna,NZ_NKXZ01000010.1,aeruginosa,REFSEQ,1,1_NKXZ01000010,71,65,55,50,46,34,6385725,6380817,6359487,6325995,6270130,5821838,71,675883,6385725,206050,109530,11,22,0.0
"Pseudomonas stutzeri DSM 10701, complete genome",GCF_000279165.1_ASM27916v1_genomic.fna,NC_018177.1,stutzeri,REFSEQ,2,2_018177,1,1,1,1,1,1,4174118,4174118,4174118,4174118,4174118,4174118,1,4174118,4174118,4174118,4174118,1,1,0.07
"Pseudomonas libanensis strain DMSP-1 chromosome, complete genome",GCF_003952245.1_ASM395224v1_genomic.fna,NZ_CP034425.1,libanensis,REFSEQ,3,3_CP034425,1,1,1,1,1,1,6282445,6282445,6282445,6282445,6282445,6282445,1,6282445,6282445,6282445,6282445,1,1,0.0
"Pseudomonas aeruginosa strain M66 NODE_10_length_211380_cov_28.7422, whole genome shotgun sequence",GCF_004123335.1_ASM412333v1_genomic.fna,NZ_SDVP01000010.1,aeruginosa,REFSEQ,1,1_SDVP01000010,75,71,59,53,47,36,6527494,6524569,6499308,6461626,6343266,5891980,75,556508,6527494,183145,104681,12,23,9.01
"Pseudomonas aeruginosa isolate XDR-PA, whole genome shotgun sequence",GCF_900707285.1_AST01-007_genomic.fna,NZ_CAADKV010000001.1,aeruginosa,REFSEQ,1,1_CAADKV010000001,1873,1522,440,114,1,0,6819022,6557650,3816586,1566441,27208,0,1873,27208,6819022,5684,3120,364,769,0.0
Pseudomonas aeruginosa LES400 sequence,GCF_000583935.1_ASM58393v1_genomic.fna,NZ_CP006982.1,aeruginosa,REFSEQ,1,1_CP006982,1,1,1,1,1,1,6591121,6591121,6591121,6591121,6591121,6591121,1,6591121,6591121,6591121,6591121,1,1,4.55
"Pseudomonas sp. 286 isolate p5.D2, whole genome shotgun sequence",GCF_900599275.1_p5.D2_genomic.fna,NZ_UVUR01000043.1,sp.,REFSEQ,4,4_UVUR01000043,44,30,25,23,20,20,5985035,5980506,5970877,5958488,5899994,5899994,32,875460,5981765,410940,231201,5,11,0.0
"Pseudomonas sp. 286 isolate p5.B7, whole genome shotgun sequence",GCF_900599125.1_p5.B7_genomic.fna,NZ_UVUB01000036.1,sp.,REFSEQ,4,4_UVUB01000036,37,19,16,16,16,15,5944498,5939008,5932914,5932914,5932914,5886345,22,1320547,5940841,623599,274443,4,7,0.0
"Pseudomonas aeruginosa strain Pae_CF67.10j CF67.10j_contig_1, whole genome shotgun sequence",GCF_001035865.1_ASM103586v1_genomic.fna,NZ_LEII01000001.1,aeruginosa,REFSEQ,1,1_LEII01000001,124,92,75,68,53,40,6399145,6385110,6347455,6300875,6061079,5560660,103,661862,6392707,138764,72700,12,28,40.81
"Pseudomonas sp. 286 isolate p5.E11, whole genome shotgun sequence",GCF_900599345.1_p5.E11_genomic.fna,NZ_UVUY01000049.1,sp.,REFSEQ,4,4_UVUY01000049,49,44,39,37,35,29,6053624,6052502,6038765,6024585,5992053,5762079,44,1072014,6052502,237144,134390,7,16,0.15
"Pseudomonas aeruginosa strain HUM-10 NODE_100_length_9684_cov_9.13968_ID_199, whole genome shotgun sequence",GCF_003632895.1_ASM363289v1_genomic.fna,NZ_RAAF01000148.1,aeruginosa,REFSEQ,1,1_RAAF01000148,230,141,114,99,69,45,6591072,6557114,6497088,6388607,5887182,4968722,158,323680,6570215,94567,50048,23,45,0.0
"Pseudomonas sp. 286 isolate p26.B5, whole genome shotgun sequence",GCF_900588165.1_p26.B5_genomic.fna,NZ_UUDZ01000042.1,sp.,REFSEQ,4,4_UUDZ01000042,42,36,32,32,30,28,5982892,5980380,5968691,5968691,5927660,5873134,38,593507,5981849,267073,164892,8,15,0.03
"Pseudomonas sp. 286 isolate p1.C9, whole genome shotgun sequence",GCF_900582965.1_p1.C9_genomic.fna,NZ_UTJZ01000039.1,sp.,REFSEQ,4,4_UTJZ01000039,40,25,21,21,20,19,5897429,5892137,5883420,5883420,5867677,5842269,28,805790,5894183,357795,265757,5,10,0.02
"Pseudomonas aeruginosa M9A.1 adget-supercont1.1, whole genome shotgun sequence",GCF_000480535.1_Pseu_aeru_3098_V1_genomic.fna,NZ_KI518722.1,aeruginosa,REFSEQ,1,1_KI518722,10,10,8,7,7,7,6425959,6425959,6423434,6417334,6417334,6417334,10,2551828,6425959,1850265,774365,2,3,371.18
"Pseudomonas syringae pv. tomato strain ICMP 4263 PtoICMP4263_Contig_1, whole genome shotgun sequence",GCF_003701235.1_ASM370123v1_genomic.fna,NZ_RBRJ01000160.1,syringae,REFSEQ,0,0_RBRJ01000160,301,203,147,120,85,49,6276578,6226430,6094063,5901985,5351044,4008613,253,223264,6260050,60857,39209,34,65,11.15
"Pseudomonas aeruginosa strain AZPAE14928 AZPAE14928_contig_1, whole genome shotgun sequence",GCF_000791325.1_AZPAE14928_genomic.fna,NZ_JTRN01000001.1,aeruginosa,REFSEQ,1,1_JTRN01000001,48,42,37,34,33,29,6257878,6253278,6240791,6223058,6207467,6039631,48,684730,6257878,268232,142598,8,15,23.6
"Pseudomonas sp. 286 isolate p11.A6, whole genome shotgun sequence",GCF_900576665.1_p11.A6_genomic.fna,NZ_USZT01000276.1,sp.,REFSEQ,4,4_USZT01000276,278,19,18,17,17,16,5836766,5745223,5743558,5738231,5738231,5688548,30,809274,5751749,516482,332820,5,8,0.02
"Pseudomonas aeruginosa strain HUM-236 PA3_B2_NODE_100_length_14514_cov_37.3215_ID_199, whole genome shotgun sequence",GCF_003633135.1_ASM363313v1_genomic.fna,NZ_QZZB01000083.1,aeruginosa,REFSEQ,1,1_QZZB01000083,185,184,132,112,75,46,6991577,6990680,6856371,6720653,6106125,5057166,185,268924,6991577,95580,46226,23,50,0.0
"Pseudomonas sp. 286 isolate p9.C2, whole genome shotgun sequence",GCF_900602375.1_p9.C2_genomic.fna,NZ_UWGZ01000464.1,sp.,REFSEQ,4,4_UWGZ01000464,464,41,31,30,28,23,6159077,5985284,5970220,5961425,5928282,5720425,138,670273,6047697,338704,190228,7,13,0.0
"Pseudomonas amygdali pv. tabaci strain ICMP 2812 PtaICMP2812_Contig_1, whole genome shotgun sequence",GCF_003700505.1_ASM370050v1_genomic.fna,NZ_RBSE01000004.1,amygdali,REFSEQ,5,5_RBSE01000004,115,97,81,73,53,43,6097545,6089657,6056290,6001388,5682316,5311043,104,406080,6093994,113439,67694,14,31,42.25
"Pseudomonas sp. 286 isolate p5.E3, whole genome shotgun sequence",GCF_900582325.1_p5.E3_genomic.fna,NZ_UTHL01000050.1,sp.,REFSEQ,4,4_UTHL01000050,50,31,24,22,21,19,5973516,5967431,5952133,5934909,5915163,5822879,34,1054487,5969095,499341,202088,4,9,0.0
"Pseudomonas sp. 286 isolate p7.D3, whole genome shotgun sequence",GCF_900600905.1_p7.D3_genomic.fna,NZ_UWBF01000062.1,sp.,REFSEQ,4,4_UWBF01000062,63,25,20,19,18,16,5992498,5979139,5969614,5962158,5942173,5859440,29,875372,5981620,497784,231755,5,9,0.0
"Pseudomonas palleroniana strain Ps006 ref.SRR3106212.0000001, whole genome shotgun sequence",GCF_001541845.1_ASM154184v1_genomic.fna,NZ_LRMR01000001.1,palleroniana,REFSEQ,6,6_LRMR01000001,47,42,37,37,35,29,6250362,6247433,6238115,6238115,6202279,5972738,45,479020,6249653,257296,158631,9,17,0.0
"Pseudomonas aeruginosa strain Lw1047 IPC879_1.1, whole genome shotgun sequence",GCF_003837305.1_ASM383730v1_genomic.fna,NZ_NSSS01000001.1,aeruginosa,REFSEQ,1,1_NSSS01000001,40,37,26,26,23,20,6294466,6291877,6263699,6263699,6221797,6097524,40,724870,6294466,500101,282450,5,10,4.96
"Pseudomonas oryzihabitans strain DE0023 NODE_10_length_149800_cov_18.216340, whole genome shotgun sequence",GCF_007680465.1_ASM768046v1_genomic.fna,NZ_VEIK01000010.1,oryzihabitans,REFSEQ,7,7_VEIK01000010,31,15,12,12,11,11,5043431,5037403,5032744,5032744,5017290,5017290,18,1063208,5039742,797629,362490,3,6,1.9
"Pseudomonas aeruginosa strain AZPAE14927 AZPAE14927_contig_1, whole genome shotgun sequence",GCF_000791305.1_AZPAE14927_genomic.fna,NZ_JTRO01000001.1,aeruginosa,REFSEQ,1,1_JTRO01000001,105,89,74,58,48,38,6885375,6874362,6839308,6731997,6535706,6147579,105,615271,6885375,184284,91135,12,26,19.19
"Pseudomonas sp. HMSC064G05 Scaffold4, whole genome shotgun sequence",GCF_001810325.1_ASM181032v1_genomic.fna,NZ_KV800721.1,sp.,REFSEQ,4,4_KV800721,144,71,46,44,40,31,6464849,6435797,6371809,6355923,6279877,5936057,90,676044,6448354,272449,112305,8,18,195.4
"Pseudomonas sp. B34(2017) B34_1, whole genome shotgun sequence",GCF_002112915.1_ASM211291v1_genomic.fna,NZ_NEJA01000001.1,sp.,REFSEQ,4,4_NEJA01000001,15,14,13,12,12,11,6273399,6272858,6271570,6266257,6266257,6233297,15,1189305,6273399,717823,541983,4,6,7.0
"Pseudomonas sp. 286 isolate p13.A4, whole genome shotgun sequence",GCF_900581875.1_p13.A4_genomic.fna,NZ_UTFX01000091.1,sp.,REFSEQ,4,4_UTFX01000091,91,80,71,67,54,36,5836498,5832256,5805383,5782357,5547477,4863759,84,483523,5834719,120490,65903,12,28,0.09
"Pseudomonas sp. 286 isolate p7.E8, whole genome shotgun sequence",GCF_900600985.1_p7.E8_genomic.fna,NZ_UWBL01000095.1,sp.,REFSEQ,4,4_UWBL01000095,96,44,42,38,35,31,5909258,5892521,5889845,5860177,5814744,5697894,45,850181,5893058,219407,121224,8,18,0.03
"Pseudomonas sp. MPR-R5A NODE_100_length_24387_cov_22.5977, whole genome shotgun sequence",GCF_002883325.1_MPR-R5A_genomic.fna,NZ_POFZ01000100.1,sp.,REFSEQ,4,4_POFZ01000100,863,257,209,175,99,45,7335895,7160554,7040805,6793365,5552098,3638050,279,142345,7175631,50979,27957,44,93,0.0
"Pseudomonas savastanoi pv. glycinea str. race 4 Contig108, whole genome shotgun sequence",GCF_000187065.1_ASM18706v2_genomic.fna,NZ_AEGH01000108.1,savastanoi,REFSEQ,8,8_AEGH01000108,108,104,61,45,35,29,5905212,5901623,5782081,5670946,5501423,5262709,108,445210,5905212,225100,108359,10,19,0.02
"Pseudomonas sp. ANT_H12B ctg00001_578663, whole genome shotgun sequence",GCF_008369325.1_ASM836932v1_genomic.fna,NZ_VOBI01000001.1,sp.,REFSEQ,4,4_VOBI01000001,57,50,43,39,34,28,6276261,6271755,6257844,6228512,6138688,5914077,57,578663,6276261,268534,159900,8,16,0.0
"Pseudomonas syringae pv. theae ICMP 3923 scaffold279, whole genome shotgun sequence",GCF_000416465.2_ASM41646v2_genomic.fna,NZ_AOJV01000001.1,syringae,REFSEQ,0,0_AOJV01000001,375,269,199,158,91,31,6254836,6211204,6047265,5752155,4637346,2473293,301,198679,6231797,42416,24690,45,93,2.47
"Pseudomonas fluorescens strain L111, complete genome",GCF_001708465.1_ASM170846v1_genomic.fna,NZ_CP015638.1,fluorescens,REFSEQ,9,9_CP015638,1,1,1,1,1,1,6606606,6606606,6606606,6606606,6606606,6606606,1,6606606,6606606,6606606,6606606,1,1,0.0
"Pseudomonas thermotolerans J53 PsesuJ47DRAFT_scaffold_0.1_C, whole genome shotgun sequence",GCF_000513835.1_ASM51383v1_genomic.fna,NZ_AZUT01000001.1,thermotolerans,REFSEQ,10,10_AZUT01000001,62,62,47,44,34,24,3753311,3753311,3710576,3689982,3531499,3164263,62,283077,3753311,117743,85627,10,20,8.37
"Pseudomonas aeruginosa strain Pae_CF67.02f CF67.02f_contig_1, whole genome shotgun sequence",GCF_001024365.1_ASM102436v1_genomic.fna,NZ_LDKI01000001.1,aeruginosa,REFSEQ,1,1_LDKI01000001,116,84,71,61,52,38,6405627,6390429,6364451,6299779,6154122,5622957,95,570158,6399047,138463,91004,12,26,23.99
"Pseudomonas aeruginosa strain R4643 GCID_CRPK_0024_NODE_1.ctg_1, whole genome shotgun sequence",GCF_003955495.1_ASM395549v1_genomic.fna,NZ_RWWZ01000152.1,aeruginosa,REFSEQ,1,1_RWWZ01000152,221,180,116,96,74,43,6972192,6943155,6797856,6664832,6276143,5158098,221,389335,6972192,91138,48180,19,45,0.0
"Pseudomonas sp. 25 R 14, whole genome shotgun sequence",GCF_900004755.1_PSEFL294_LIB5742_genomic.fna,NZ_CVTS01000067.1,sp.,REFSEQ,4,4_CVTS01000067,69,62,58,53,43,32,6337310,6333765,6322575,6282232,6098321,5676090,65,458980,6336356,225084,116121,11,20,19.35
