match,cleaned_filename,mismatch,positive,gaps,ppos,pident,qcovs,evalue,bitscore,sstart,send,species
1_002516,1_MAZH01000026,20,8329,0,99.76,99.76,100,0.0,15307.0,1,8349,aeruginosa
1_002516,1_MWYK01000001,21,8328,0,99.75,99.74799999999999,100,0.0,15302.0,1,8349,aeruginosa
1_002516,1_NSNH01000001,19,8330,0,99.77,99.772,100,0.0,15313.0,1,8349,aeruginosa
1_002516,1_JTRQ01000001,22,8327,0,99.74,99.736,100,0.0,15296.0,1,8349,aeruginosa
1_002516,1_JTNU01000001,35,8314,0,99.58,99.581,100,0.0,15224.0,1,8349,aeruginosa
1_002516,1_RWVG01000001,24,8325,0,99.71,99.713,100,0.0,15285.0,1,8349,aeruginosa
1_002516,1_LLMD01000001,23,8326,0,99.72,99.725,100,0.0,15291.0,1,8349,aeruginosa
1_002516,1_NRBZ01000001,14,8335,0,99.83,99.83200000000001,100,0.0,15341.0,1,8349,aeruginosa
1_002516,1_JTOW01000001,24,8325,0,99.71,99.713,100,0.0,15285.0,1,8349,aeruginosa
1_002516,1_FRLG01000106,18,8331,0,99.78,99.78399999999999,100,0.0,15319.0,1,8349,aeruginosa
1_002516,1_CP040127,10,8339,0,99.88,99.88,100,0.0,15363.0,1,8349,aeruginosa
1_002516,1_NSSZ01000001,38,8311,0,99.54,99.545,100,0.0,15208.0,1,8349,aeruginosa
1_002516,1_JTRS01000001,10,8339,0,99.88,99.88,100,0.0,15363.0,1,8349,aeruginosa
1_002516,1_RXWB01000001,17,8332,0,99.8,99.796,100,0.0,15324.0,1,8349,aeruginosa
1_002516,1_QZYQ01000127,35,8314,0,99.58,99.581,100,0.0,15224.0,1,8349,aeruginosa
1_002516,1_CAADLG010000001,45,8304,0,99.46,99.461,100,0.0,15169.0,1,8349,aeruginosa
1_002516,1_JTUQ01000001,17,8332,0,99.8,99.796,100,0.0,15324.0,1,8349,aeruginosa
1_002516,1_FRUB01000323,30,8319,0,99.64,99.641,100,0.0,15252.0,1,8349,aeruginosa
1_002516,1_LZDA01000011,45,8304,0,99.46,99.461,100,0.0,15169.0,1,8349,aeruginosa
1_002516,1_FRKY01000085,21,8328,0,99.75,99.74799999999999,100,0.0,15302.0,1,8349,aeruginosa
1_002516,1_NSNP01000001,47,8302,0,99.44,99.43700000000001,100,0.0,15158.0,1,8349,aeruginosa
1_002516,1_FROO01000112,19,8330,0,99.77,99.772,100,0.0,15313.0,1,8349,aeruginosa
1_002516,1_KI519017,17,8332,0,99.8,99.796,100,0.0,15324.0,1,8349,aeruginosa
1_002516,1_RXVG01000001,18,8331,0,99.78,99.78399999999999,100,0.0,15319.0,1,8349,aeruginosa
1_002516,1_QVBD01000100,35,8314,0,99.58,99.581,100,0.0,15224.0,1,8349,aeruginosa
1_002516,1_CAADLP010000001,10,8339,0,99.88,99.88,100,0.0,15363.0,1,8349,aeruginosa
1_002516,1_RWMQ01000001,22,8327,0,99.74,99.736,100,0.0,15296.0,1,8349,aeruginosa
1_002516,1_JTSD01000001,45,8304,0,99.46,99.461,100,0.0,15169.0,1,8349,aeruginosa
1_002516,1_RWSX01000001,37,8312,0,99.56,99.557,100,0.0,15213.0,1,8349,aeruginosa
1_002516,1_JTYU01000001,17,8332,0,99.8,99.796,100,0.0,15324.0,1,8349,aeruginosa
1_002516,1_KK213223,36,8313,0,99.57,99.569,100,0.0,15219.0,1,8349,aeruginosa
1_002516,1_FRIT01000143,36,8313,0,99.57,99.569,100,0.0,15219.0,1,8349,aeruginosa
1_002516,1_LLPX01000001,26,8323,0,99.69,99.689,100,0.0,15274.0,1,8349,aeruginosa
1_002516,1_NSZB01000001,15,8334,0,99.82,99.82,100,0.0,15335.0,1,8349,aeruginosa
1_002516,1_RAFS01000045,22,8327,0,99.74,99.736,100,0.0,15296.0,1,8349,aeruginosa
1_002516,1_NSRK01000001,27,8322,0,99.68,99.677,100,0.0,15269.0,1,8349,aeruginosa
1_002516,1_MULG01000001,18,8331,0,99.78,99.78399999999999,100,0.0,15319.0,1,8349,aeruginosa
1_002516,1_SCZL01000001,31,8318,0,99.63,99.62899999999999,100,0.0,15247.0,1,8349,aeruginosa
1_002516,1_NSTU01000001,27,8322,0,99.68,99.677,100,0.0,15269.0,1,8349,aeruginosa
1_002516,1_JTXB01000001,26,8323,0,99.69,99.689,100,0.0,15274.0,1,8349,aeruginosa
1_002516,1_VLHR01000010,21,8328,0,99.75,99.74799999999999,100,0.0,15302.0,1,8349,aeruginosa
1_002516,1_CCOJ01000001,22,8327,0,99.74,99.736,100,0.0,15296.0,1,8349,aeruginosa
1_002516,1_JTPJ01000001,40,8309,0,99.52,99.521,100,0.0,15197.0,1,8349,aeruginosa
