Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
109A1_wgs	Pseudomonas (5)	182	833	312	1	810	22	0	0	0	99.89	2.52	0.00
10A6_wgs	Pseudomonas (5)	182	833	312	13	817	3	0	0	0	98.28	0.51	0.00
114A4_wgs	Pseudomonas (5)	182	833	312	0	832	1	0	0	0	100.00	0.08	0.00
115A1_wgs	Pseudomonas (5)	182	833	312	4	824	5	0	0	0	98.96	0.65	0.00
119A3_wgs	Pseudomonas (5)	182	833	312	4	822	7	0	0	0	98.72	1.19	0.00
20A1_wgs	Pseudomonas (5)	182	833	312	0	825	7	1	0	0	100.00	0.96	0.00
31A8_wgs	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.14	0.00
34A1_wgs	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.22	0.00
39A1_wgs	Pseudomonas (5)	182	833	312	13	816	4	0	0	0	98.28	0.59	0.00
45C2_wgs	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.41	0.00
4A7_wgs	Pseudomonas (5)	182	833	312	4	826	3	0	0	0	99.57	0.43	0.00
56A10_wgs	Pseudomonas (5)	182	833	312	0	824	9	0	0	0	100.00	0.91	0.00
57B2_wgs	Pseudomonas (5)	182	833	312	0	830	2	1	0	0	100.00	0.53	0.00
62A4_wgs	Pseudomonas (5)	182	833	312	4	826	3	0	0	0	99.17	0.18	0.00
66C3_wgs	Pseudomonas (5)	182	833	312	4	822	7	0	0	0	98.72	1.19	0.00
69C1_wgs	Pseudomonas (5)	182	833	312	1	831	1	0	0	0	99.89	0.08	0.00
6C6_wgs	Pseudomonas (5)	182	833	312	5	823	5	0	0	0	99.25	0.48	0.00
82B1_wgs	Pseudomonas (5)	182	833	312	0	826	7	0	0	0	100.00	1.10	0.00
88B1_wgs	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.22	0.00
89C1_wgs	Pseudomonas (5)	182	833	312	8	821	4	0	0	0	99.04	1.04	0.00
8A1_wgs	Pseudomonas (5)	182	833	312	5	823	5	0	0	0	98.85	0.23	0.00
95A6_wgs	Pseudomonas (5)	182	833	312	7	805	18	3	0	0	98.53	3.42	18.52
96A1_wgs	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.24	0.00
97C1_wgs	Pseudomonas (5)	182	833	312	12	818	2	1	0	0	98.60	0.61	0.00
99A1_wgs	Pseudomonas (5)	182	833	312	3	826	3	1	0	0	99.28	1.04	0.00
HS_1_wgs	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.22	0.00
HS_2_wgs	Pseudomonas (5)	182	833	312	0	826	7	0	0	0	100.00	0.88	0.00
HS_3_wgs	Pseudomonas (5)	182	833	312	1	830	2	0	0	0	99.68	0.13	0.00
HS_4_wgs	Pseudomonas (5)	182	833	312	1	830	2	0	0	0	99.68	0.40	0.00
HS_5_wgs	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.25	0.00
