"","bID","Bin.Id","Marker.lineage","X..genomes","X..markers","X..marker.sets","X0","X1","X2","X3","X4","X5.","Completeness","Contamination","Strain.heterogeneity","description","id","refseqSpecies","source","species_code","cleaned_filename","contigs_greater_0_bp","contigs_greater_1000_bp","contigs_greater_5000_bp","contigs_greater_10000_bp","contigs_greater_25000_bp","contigs_greater_50000_bp","total_length_greater_0_bp","total_length_greater_1000_bp","total_length_greater_5000_bp","total_length_greater_10000_bp","total_length_greater_25000_bp","total_length_greater_50000_bp","total_contigs","largest_contig","total_length","N50","N75","L50","L75","number_Ns_per_100_kbp","species","genID","speciesID"
"1","GCF_000006765.1_ASM676v1_genomic.fna","GCF_000006765.1_ASM676v1_genomic","Pseudomonas (5)",182,833,312,1,831,1,0,0,0,99.68,0.08,0,"Pseudomonas aeruginosa PAO1, complete genome","NC_002516.2","pseudomonas_aeruginosa","REFSEQ",1,"1_002516",1,1,1,1,1,1,6264404,6264404,6264404,6264404,6264404,6264404,1,6264404,6264404,6264404,6264404,1,1,0,"aeruginosa","002516","aeruginosa"
"2","GCF_000019225.1_ASM1922v1_genomic.fna","GCF_000019225.1_ASM1922v1_genomic","Pseudomonas (5)",182,833,312,86,732,15,0,0,0,82.95,1.69,0,"Cellvibrio japonicus Ueda107, complete sequence","NC_010995.1","cellvibrio_japonicus","REFSEQ",127,"127_010995",1,1,1,1,1,1,4576573,4576573,4576573,4576573,4576573,4576573,1,4576573,4576573,4576573,4576573,1,1,0,"cjaponicus","010995","cjaponicus"
"3","GCF_000026105.1_ASM2610v1_genomic.fna","GCF_000026105.1_ASM2610v1_genomic","Pseudomonas (5)",182,833,312,2,825,6,0,0,0,99.36,0.56,0,"Pseudomonas entomophila L48, complete sequence","NC_008027.1","pseudomonas_entomophila","REFSEQ",63,"63_008027",1,1,1,1,1,1,5888780,5888780,5888780,5888780,5888780,5888780,1,5888780,5888780,5888780,5888780,1,1,0,"entomophila","008027","entomophila"
"4","GCF_000219605.1_ASM21960v1_genomic.fna","GCF_000219605.1_ASM21960v1_genomic","Pseudomonas (5)",182,833,312,1,829,3,0,0,0,99.89,0.3,0,"Pseudomonas stutzeri, complete sequence","NC_015740.1","pseudomonas_stutzeri,","REFSEQ",137,"137_015740",1,1,1,1,1,1,4547930,4547930,4547930,4547930,4547930,4547930,1,4547930,4547930,4547930,4547930,1,1,0,"stutzeri","015740","stutzeri"
"5","GCF_000259195.1_LF10417_PSEudwD_genomic.fna","GCF_000259195.1_LF10417_PSEudwD_genomic","Pseudomonas (5)",182,833,312,8,820,5,0,0,0,98.58,0.91,0,"Pseudomonas donghuensis strain HYS Scaffold1, whole genome shotgun sequence","NZ_JH650757.1","pseudomonas_donghuensis","REFSEQ",94,"94_JH650757",64,60,56,52,41,31,5646028,5643400,5630740,5596791,5406101,4989920,64,503710,5646028,188174,102903,10,20,116.06,"donghuensis","JH650757","donghuensis"
"6","GCF_000364625.1_ASM36462v1_genomic.fna","GCF_000364625.1_ASM36462v1_genomic","Pseudomonas (5)",182,833,312,12,816,5,0,0,0,98.08,1.2,0,"Pseudomonas thermotolerans DSM 14292 H165DRAFT_scaffold00001.1, whole genome shotgun sequence","NZ_KB822599.1","pseudomonas_thermotolerans","REFSEQ",121,"121_KB822599",75,75,45,39,30,25,3752096,3752096,3683773,3639570,3513180,3336784,75,310662,3752096,159554,84058,9,18,89.74,"thermotolerans","KB822599","thermotolerans"
"7","GCF_000397205.1_ASM39720v1_genomic.fna","GCF_000397205.1_ASM39720v1_genomic","Pseudomonas (5)",182,833,312,1,829,3,0,0,0,99.68,0.72,0,"Pseudomonas protegens CHA0, complete genome","NC_021237.1","pseudomonas_protegens","REFSEQ",134,"134_021237",1,1,1,1,1,1,6867980,6867980,6867980,6867980,6867980,6867980,1,6867980,6867980,6867980,6867980,1,1,0,"protegens","021237","protegens"
"8","GCF_000410875.1_KCCM90073_genomic.fna","GCF_000410875.1_KCCM90073_genomic","Pseudomonas (5)",182,833,312,41,778,12,1,1,0,92.6,1.49,0,"Pseudomonas pelagia CL-AP6 111.KCCM90073.1_1, whole genome shotgun sequence","NZ_AROI01000001.1","pseudomonas_pelagia","REFSEQ",138,"138_AROI01000001",81,72,50,43,32,25,4642307,4635346,4588971,4539969,4364711,4106253,81,492049,4642307,186161,89996,9,17,0,"pelagia","AROI01000001","pelagia"
"9","GCF_000412675.1_ASM41267v1_genomic.fna","GCF_000412675.1_ASM41267v1_genomic","Pseudomonas (5)",182,833,312,0,831,2,0,0,0,100,0.11,0,"Pseudomonas putida NBRC 14164, complete sequence","NC_021505.1","pseudomonas_putida","REFSEQ",152,"152_021505",1,1,1,1,1,1,6156701,6156701,6156701,6156701,6156701,6156701,1,6156701,6156701,6156701,6156701,1,1,0,"putida","021505","putida"
"10","GCF_000423545.1_ASM42354v1_genomic.fna","GCF_000423545.1_ASM42354v1_genomic","Pseudomonas (5)",182,833,312,1,826,6,0,0,0,99.68,0.8,0,"Pseudomonas resinovorans DSM 21078 G559DRAFT_scaffold00001.1_C, whole genome shotgun sequence","NZ_AUIE01000001.1","pseudomonas_resinovorans","REFSEQ",45,"45_AUIE01000001",53,53,47,47,36,32,6027681,6027681,6012926,6012926,5818090,5669840,53,564385,6027681,197842,121283,10,20,63.13,"resinovorans","AUIE01000001","resinovorans"
