query,subject,ani,matches,total
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000484495.2_ASM48449v1_genomic.fna,99.9977,2084,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001729505.1_ASM172950v1_genomic.fna,99.9969,2084,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000484545.2_ASM48454v1_genomic.fna,99.9964,2085,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000296325.1_PAO579-1.0_genomic.fna,99.9947,1998,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000629345.1_Pseu_aeru_PAO1-GFP_V1_genomic.fna,99.9792,2079,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000282915.1_MWR44.1-1.0_genomic.fna,99.9774,2054,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003332425.1_ASM333242v1_genomic.fna,99.9761,2034,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001453805.1_WH-SGI-V-07299_genomic.fna,99.9749,1991,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003628795.1_ASM362879v1_genomic.fna,99.9653,2034,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000247435.1_ASM24743v2_genomic.fna,99.9575,2023,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000568115.1_De_Novo_Assembly_genomic.fna,99.9495,1977,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000468555.2_ASM46855v1_genomic.fna,99.9408,2011,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001420265.1_ASM142026v1_genomic.fna,99.9241,1964,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001450585.1_WH-SGI-V-07182_genomic.fna,99.8249,2032,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000790625.1_AZPAE15053_genomic.fna,99.8229,2009,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001449225.1_WH-SGI-V-07068_genomic.fna,99.8219,2036,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002942045.1_ASM294204v1_genomic.fna,99.5468,2012,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000791305.1_AZPAE14927_genomic.fna,99.5158,2004,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003628835.1_ASM362883v1_genomic.fna,99.5146,2006,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002239425.1_ASM223942v1_genomic.fna,99.5131,1999,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001483235.1_ASM148323v1_genomic.fna,99.512,2046,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000789885.1_AZPAE14915_genomic.fna,99.5051,1997,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003628905.1_ASM362890v1_genomic.fna,99.5024,1991,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000468935.2_ASM46893v1_genomic.fna,99.5014,2086,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001449655.1_WH-SGI-V-07178_genomic.fna,99.5009,2029,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001452205.1_WH-SGI-V-07640_genomic.fna,99.5,2004,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000629065.1_Pseu_aeru_BWH033_V1_genomic.fna,99.4985,2012,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001451655.1_WH-SGI-V-07489_genomic.fna,99.4971,2019,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002239445.1_ASM223944v1_genomic.fna,99.4964,2015,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001516165.2_ASM151616v2_genomic.fna,99.4961,2058,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001451865.1_WH-SGI-V-07502_genomic.fna,99.4875,2023,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001451375.1_WH-SGI-V-07417_genomic.fna,99.48700000000001,2024,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_001374295.1_291_15_211Ba_contigs_500_genomic.fna,99.4826,1997,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002330515.1_ASM233051v1_genomic.fna,99.4793,2014,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002325965.1_ASM232596v1_genomic.fna,99.4789,2016,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_003267915.1_ASM326791v1_genomic.fna,99.4764,2026,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002326725.1_ASM232672v1_genomic.fna,99.475,1999,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_002326585.1_ASM232658v1_genomic.fna,99.47200000000001,2003,2088
GCF_000006765.1_ASM676v1_genomic.fna,GCF_000520215.1_Pseu_aeru_Z61_V1_genomic.fna,99.4706,2046,2088
