"mod_species","ani","subject","clade","subclade"
"abietaniphila",99.9758,"GCF_000974525.1_ASM97452v1_genomic.fna","lutea",""
"abietaniphila",100,"GCF_000876035.1_ASM87603v1_genomic.fna","lutea",""
"abietaniphila",98.3421,"GCF_900110765.1_IMG-taxon_2599185307_annotated_assembly_genomic.fna","lutea",""
"abyssi",100,"GCF_002307495.1_ASM230749v1_genomic.fna","pertucinogena",""
"abyssi",97.833,"GCF_003444685.1_ASM344468v1_genomic.fna","pertucinogena",""
"aeruginosa",99.9977,"GCF_000484495.2_ASM48449v1_genomic.fna","aeruginosa",""
"aeruginosa",99.9969,"GCF_001729505.1_ASM172950v1_genomic.fna","aeruginosa",""
"aeruginosa",99.9964,"GCF_000484545.2_ASM48454v1_genomic.fna","aeruginosa",""
"aeruginosa",99.9947,"GCF_000296325.1_PAO579-1.0_genomic.fna","aeruginosa",""
"aeruginosa",99.9792,"GCF_000629345.1_Pseu_aeru_PAO1-GFP_V1_genomic.fna","aeruginosa",""
"aeruginosa",99.9774,"GCF_000282915.1_MWR44.1-1.0_genomic.fna","aeruginosa",""
"aeruginosa",99.9761,"GCF_003332425.1_ASM333242v1_genomic.fna","aeruginosa",""
"aeruginosa",99.9749,"GCF_001453805.1_WH-SGI-V-07299_genomic.fna","aeruginosa",""
"aeruginosa",99.9653,"GCF_003628795.1_ASM362879v1_genomic.fna","aeruginosa",""
"aeruginosa",99.9575,"GCF_000247435.1_ASM24743v2_genomic.fna","aeruginosa",""
"aeruginosa",99.9495,"GCF_000568115.1_De_Novo_Assembly_genomic.fna","aeruginosa",""
"aeruginosa",99.9408,"GCF_000468555.2_ASM46855v1_genomic.fna","aeruginosa",""
"aeruginosa",99.9241,"GCF_001420265.1_ASM142026v1_genomic.fna","aeruginosa",""
"aeruginosa",99.8249,"GCF_001450585.1_WH-SGI-V-07182_genomic.fna","aeruginosa",""
"aeruginosa",99.8229,"GCF_000790625.1_AZPAE15053_genomic.fna","aeruginosa",""
